reference,name,description,reason,organisation,notes,entry-date,start-date,end-date
CON3B,Material imported onto sensitive sites,"Any soil or soil forming materials brought to site for use in garden areas, soft landscaping, filing and level raising shall be tested for contamination and suitability for use on site. Proposals for contamination testing including testing schedules, sampling frequencies and allowable contaminant concentrations (as determined by appropriate risk assessment) and source material information shall be submitted to and be approved in writing by the LPA prior to any soil or soil forming materials being brought onto site. The approved contamination testing shall then be carried out and verification evidence submitted to and approved in writing by the LPA prior to any soil and soil forming material being brought on to site.","To secure the satisfactory development of the site in terms of human health and the wider environment, in accordance with the National Planning Policy Framework and Doncaster's Local Plan Policy 54 & 55.",local-authority: DNC,Standard Condition,,,
CRET,No conds/directs Applied to Decision,No Conditions/Directives Have been Applied To this Decision.,,local-authority: DNC,Standard Condition,,,
D54B,No piped discharge of surface water,"Unless otherwise approved in writing by the Local Planning Authority, there shall be no piped discharge of surface water from the development prior to the completion of the approved surface water drainage works and no buildings shall be occupied or brought into use prior to completion of the approved foul drainage works.",To ensure that no foul or surface water discharge take place until proper provision has  been made for their disposal.,local-authority: DNC,Standard Condition,,,
DA01,Drainage details be agreed before start,"The development hereby granted shall not be begun until details of the foul, surface water and land drainage systems and all related works necessary to drain the site have been submitted to and approved by the Local Planning Authority. These works shall be carried out concurrently with the development and the drainage system shall be operating to the satisfaction of the Local Planning Authority prior to the occupation of the development.",To ensure that the site is connected to suitable drainage systems and to ensure that full details thereof are approved by the Local Planning Authority before any works begin.,local-authority: DNC,Standard Condition,,,
DJ10,Foul drainage to cesspool details needed,"Foul drainage from the site shall be discharged to a cesspool, details of which shall be submitted to and approved by the Local Planning Authority prior to the commencement of any works on the site.",To ensure that details of the required cesspool are approved by the Local Planning Authority prior to the commencement of any works on the site.,local-authority: DNC,Standard Condition,,,
DX24A,SW run off via petrol interceptor,"All surface water run off from the site, excepting roof water, shall be discharged to the public surface water sewer/land drainage system or Highway Drain via a suitable oil/petrol/grit interceptor.  Details of these arrangements shall be approved by the Local Planning Authority prior to the commencement of the development and they shall be fully operational before the site is brought into use.",To avoid pollution of the public sewer and land drainage system.,local-authority: DNC,Standard Condition,,,
ECOL2A,Ecological management plan,"Prior to the commencement of development, an ecological management plan shall be submitted to the Local Planning Authority for approval in writing. This plan shall include details of how all the retained and created habitats on the site will be managed. The habitats shall thereafter be managed in accordance with the ecological management plan.",To ensure the ecological interests of the site are maintained in accordance with policy 30 of the Doncaster Local Plan.,local-authority: DNC,Standard Condition,,,
ENVH4,Construction Method Statement,"No development shall take place, including any works of demolition, until a Construction Method Statement has been submitted to and approved in writing by the local planning authority. The approved statement shall be adhered to throughout the construction period. The statement shall provide for:

i) - the parking of vehicles of site operatives and visitors 
ii) - loading and unloading of plant and materials 
iii) - storage of plant and materials used in constructing the development 
iv) - the erection and maintenance of security hoarding including decorative displays and facilities for public viewing, where appropriate 
v) - wheel washing facilities 
vi) - measures to control noise and the emission of dust and dirt during construction 
vii) - a scheme for recycling/disposing of waste resulting from demolition and construction works",To safeguard the living conditions of neighbouring residents and in the interests of highway safety.,local-authority: DNC,Standard Condition,,,
FA01,Floor Levels,Floor levels within the proposed development will be set no lower than existing floor levels,To ensure that any new development complies with Environment Agency standing advice,local-authority: DNC,Standard Condition,,,
FA02,Flood Proofing,All flood proofing resilience and resistance techniques shall be included in the extension as per the guidance issued by The Department for Communities and Local Government 'Improving the flood performance of new buildings' May 2007.,To ensure that the new extension is flood resilient.,local-authority: DNC,Standard Condition,,,
HIGH1,Site surfaced and sealed,"Before the development is brought into use, that part of the site to be used by vehicles shall be surfaced, drained and where necessary marked out in a manner to be approved in writing by the local planning authority.",To ensure adequate provision for the disposal of surface water and ensure that the use of the land will not give rise to mud hazards at entrance/exit points in the interests of public safety.,local-authority: DNC,Standard Condition,,,
HIGH11,Crossing over footpath/verge,The development hereby approved shall not be brought into use until a crossing over the footpath/verge has been constructed in accordance with a scheme previously approved in writing by the local planning authority.,To avoid damage to the verge.,local-authority: DNC,Standard Condition,,,
HIGH1A,Site surfaced and sealed,"Before the development is brought into use, that part of the site to be used by vehicles shall be surfaced, drained and where necessary marked out in a manner to be approved in writing by the local planning authority.",To ensure highway safety is protected in accordance with Policy 13 (A) of the Doncaster Local Plan.,local-authority: DNC,Standard Condition,,,
HIGH2,Vehicle turning space,The vehicle turning space as shown on the approved plans shall be constructed before the development is brought into use and shall thereafter be maintained as such.,To avoid the necessity of vehicles reversing on to or from the highway and creating a highway hazard.,local-authority: DNC,Standard Condition,,,
HIGH3,Parking to be retained as such,"Before the development hereby permitted is brought into use, the parking as shown on the approved plans shall be provided. The parking area shall not be used otherwise than for the parking of private motor vehicles belonging to the occupants of and visitors to the development hereby approved.",To ensure that adequate parking provision is retained on site.,local-authority: DNC,Standard Condition,,,
HIGH4A,Cycle storage facilities,"The development hereby permitted shall not be commenced until details of secure cycle parking facilities for the occupants of, and/or visitors to the development have been submitted to and approved in writing by the local planning authority. These facilities shall be fully implemented and made available for use prior to the occupation of the development hereby permitted and shall thereafter be retained for use at all times.",To ensure that satisfactory facilities for the parking of cycles are provided and to encourage travel by means other than private motor vehicles and to comply with policy 13 of the Doncaster Local Plan.,local-authority: DNC,Standard Condition,,,
HIGH4B,Cycle storage facilities,"The development hereby permitted shall not be commenced until details of secure, enclosed cycle storage facilities for each individual property of the development have been submitted to and approved in writing by the local planning authority. These facilities shall be fully implemented and made available for use prior to the occupation of the development hereby permitted and shall thereafter be retained for use at all times in accordance with those approved details.",To ensure that satisfactory facilities for the storage of cycles are provided and to encourage travel by means other than private motor vehicles and to comply with policy 13 of the Doncaster Local Plan.,local-authority: DNC,Standard Condition,,,
HIH14A,EV charging point,"Prior to the occupation of the development hereby approved, details of electric vehicle charging provision shall be submitted to and approved in writing by the local planning authority. Installation shall comply with current guidance/advice. The first dwelling/development shall not be occupied until the approved connection has been installed and is operational and shall be retained for the lifetime of the development. The development shall be carried out in accordance with the approved details.",To contribute towards a reduction in emissions in accordance with air quality objectives and providing sustainable travel choice in accordance with policy 13 of the Doncaster Local Plan.,local-authority: DNC,Standard Condition,,,
MAT1B,Samples of materials,"Prior to the commencement of the relevant works, details of the proposed external materials shall be submitted to and approved in writing by the local planning authority. The development shall be carried out in accordance with the approved materials.",To ensure that the materials are appropriate to the area in accordance with policy 42 of the Doncaster Local Plan.,local-authority: DNC,Standard Condition,,,
MAT2B,Materials to match existing,The external materials and finishes shall match the existing property.,To ensure the satisfactory appearance of the development in accordance with policy 41 of the Doncaster Local Plan.,local-authority: DNC,Standard Condition,,,
MAT4,Details of boundary walls to be approved,"No development shall take place until there has been submitted to and approved in writing by the local planning authority a plan indicating the positions, design, materials, height, and type of boundary treatment to be erected on site, including any gates. Unless otherwise approved in writing by the local planning authority, the details as approved shall be completed before the occupation of any buildings on site.",To ensure the satisfactory appearance of the development.,local-authority: DNC,Standard Condition,,,
MISC11,South Yorkshire Superfast Broadband,"Upon commencement of development details of measures to facilitate the provision of gigabit-capable full fibre broadband for the dwellings/development hereby permitted, including a timescale for implementation, shall be submitted to and approved in writing by the Local Planning Authority. The development shall be carried out in accordance with the approved details.",To ensure that all new housing and commercial developments provide connectivity to the fastest technically available Broadband network in line with the NPPF (para. 114) and Policy 21 of the Doncaster Local Plan.,local-authority: DNC,Standard Condition,,,
NOPD1B,No extns or alts without consent,"Notwithstanding the provisions of the Town and Country Planning (General Permitted Development) (No.596) (England) Order 2015, Article 3, Schedule 2: Part 1 (or any subsequent order or statutory provision revoking or re-enacting that order) no additions, extensions or other alterations other than that expressly authorised by this permission shall be carried out without prior permission of the local planning authority.",The local planning authority considers that further development could cause detriment to the amenities of the occupiers of nearby properties or to the character of the area and for this reason would wish to control any future development to comply with policy 10 of the Doncaster Local Plan.,local-authority: DNC,Standard Condition,,,
NOPD2B,No alterations without consent,"Notwithstanding the provisions of the Town and Country Planning (General Permitted Development) (No.596) (England) Order 2015, Article 3, Schedule 2: Part 1 (or any subsequent order or statutory provision revoking or re-enacting that order) no additional windows shall be created or other alterations made to the dwelling and/or extension hereby permitted without the prior permission of the local planning authority.",The local planning authority considers that further alterations could cause detriment to the amenities of the occupiers of nearby properties and for this reason would wish to control any future alterations to comply with policy 10 of the Doncaster Local Plan.,local-authority: DNC,Standard Condition,,,
NOPD3B,No development on land without consent,"Notwithstanding the provisions of the Town and Country Planning (General Permitted Development) (No.596) (England) Order 2015, Article 3, Schedule 2: Part 1 (or any subsequent order or statutory provision revoking or re-enacting that order) no development shall be carried out on any part of the land other than that hereby permitted without the prior permission of the local planning authority.",The local planning authority considers that further development could cause detriment to the amenities of the occupiers of nearby properties or to the character of the area and for this reason would wish to control any future development to comply with policy 10 of the Doncaster Local Plan.,local-authority: DNC,Standard Condition,,,
NOPD4B,No means of enclosure,"Notwithstanding the provisions of the Town and Country Planning (General Permitted Development) (No.596) (England) Order 2015, Article 3, Schedule 2: Part 2 (or any subsequent order or statutory provision revoking or re-enacting that order) no walls, fences or other means of enclosure shall be erected on land between the walls of any dwellings fronting a highway and the highway boundary without the prior permission of the local planning authority.",The local planning authority considers that further development could cause detriment to the character of the area and for this reason would wish to control any future development to comply with policy 10 of the Doncaster Local Plan.,local-authority: DNC,Standard Condition,,,
RES10,Obscure glazing,"Before the first occupation of the building/extension hereby permitted, the windows as indicated on the approved plans shall be permanently obscure to a level of obscurity to Pilkington level 3 or above or its technical equivalent by other manufactures and shall be permanently retained in that condition thereafter, unless otherwise approved in writing by the local planning authority.",To ensure that the development does not impact on the privacy of the adjoining premises.,local-authority: DNC,Standard Condition,,,
RES6,Satisfactory refuse and recycling storag,No development shall take place until a scheme for the storage of refuse and recycling has been submitted to and approved in writing by the local planning authority. The scheme shall be carried out in full as approved prior to first occupation of the development and the refuse and recycling storage facilities shall thereafter be retained for use at all times.,To ensure the satisfactory provision of facilities for the storage of refuse.,local-authority: DNC,Standard Condition,,,
STAT1,Full Planning Permission,The development to which this permission relates must be begun not later than the expiration of three years beginning with the date of this permission.,Condition required to be imposed by Section 91(as amended) of the Town and Country Planning Act 1990.,local-authority: DNC,Standard Condition,,,
STAT2,Outline Planning Permission,The development to which this permission relates must be begun not later than whichever is the later of the following dates:- i) The expiration of three years from the date of this permission or ii) The expiration of two years from the final approval of the reserved matters or in the case of different dates the final approval of the last such matter to be approved.,Condition required to be imposed by Section 92 (as amended) of the Town and Country Planning Act 1990.,local-authority: DNC,Standard Condition,,,
STAT3,Submission of Reserved Matters,"In the case of the reserved matters, application for approval must be made not later than the expiration of three years beginning with the date of this permission.",Condition required to be imposed by Section 92(as amended) of the Town and Country Planning Act 1990.,local-authority: DNC,Standard Condition,,,
STAT7,Listed Building Consent,The works hereby permitted shall be commenced before the expiration of three years from the date of this consent.,To comply with Sections 18 (as amended) and 74 of the Planning (Listed Buildings and Conservation Areas) Act 1990.,local-authority: DNC,Standard Condition,,,
SUDS1,Design and Assoc Management SuDs,"No development shall take place until a detailed design and associated management and maintenance plan of surface water drainage for the site, based upon sustainable drainage principles and an assessment of the hydrological and hydrogeological context of the development has been submitted in accordance with the approved detailed design, prior to the use of the development commencing.
The scheme to be submitted shall demonstrate that the surface water drainage system(s) are designed in accordance with the South Yorkshire Interim Local Guidance for SuDS."," To prevent the increased risk of flooding; to ensure the future maintenance of the SuDS system, to improve water quality, habitat and amenity all in accordance with NPPF.",local-authority: DNC,Standard Condition,,,
U0115815,In accordance with plans specified,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Proposed Plans (Extensions) : Drawing No. 23-067-5 (Revision B) as received 29/09/2023
Proposed Plans (Garage): Drawing No. 23-067-6 as received 07/09/2023
Site Plan: Drawing No. 23-067-2 (Revision B) as received 29/09/2023
Location Plan: Drawing No. 23-067-1 as received 07/09/2023
Landscaping Plan: No. 23-067-LP (Revision B) as received 29/09/2023",To ensure that the development is carried out in accordance with the application as approved.,local-authority: DNC,Unique Condition,,,
U0115816,ROOF MATERIALS,Prior to the implementation of the relevant site works samples or details of the roof covering to be used on the building and its garage shall be submitted to and approved in writing by the local planning authority. All verges to gables shall be mortared verges not treated with barge boards or any other covering.,In the interests of the character of the Conservation Area and in accordance with POLICY 37 of the Doncaster Local Plan,local-authority: DNC,Unique Condition,,,
U0115817,WINDOWS & EXTERNAL DOORS,"Before the commencement of the relevant site works full details of the design, materials, construction and finish of any new doors (including garage doors) and windows to the development hereby approved shall be submitted to and approved in writing by the local planning authority. Unless otherwise agreed in writing the details shall include an elevation of 1:20 scale of each window type and 1:5 scale cross section. Development shall be carried out in accordance with the approved details.",In the interests of the character of the Conservation Area and in accordance with POLICY 37 of the Doncaster Local Plan,local-authority: DNC,Unique Condition,,,
U0115818,ROOF LIGHTS,The rooflights hereby permitted shall be low profile conservation rooflights with a central vertical glazing bar. Details of the make and model of the rooflights to be installed on the building hereby approved shall be submitted to and approved in writing by the local planning authority prior to the implementation of the relevant works. Development shall be carried out in accordance with the approved details,In the interests of the character of the Conservation Area and in accordance with POLICY 37 of the Doncaster Local Plan,local-authority: DNC,Unique Condition,,,
U0115819,EXTERNAL RENDER,The external finish material shall be white coloured render to match the host dwelling.,"In the interests of the character of the Conservation Area and in accordance with POLICY 37 of the Doncaster Local Plan. Additionally, to ensure satisfactory appearance of the development in accordance with POLICY 41 of the Doncaster Local Plan",local-authority: DNC,Unique Condition,,,
U0115820,Landscaping,"The scheme of landscaping (Landscaping Plan 23 - 067 - LP - B) which has been agreed as part of this application shall be started during the first available planting season following the commencement of the development hereby granted. It shall thereafter be maintained by the site owner. Any tree or shrub planted in accordance with the scheme which becomes damaged or diseased, or dies or is removed shall be replaced during the next planting season. Any staking, tying, weeding, watering and other action deemed necessary by the Local Planning Authority shall be carried out by the owner in accordance with the Authority's publication 'Landscape Specification in Relation to Development Sites'.",To ensure the maintenance of a healthy planting scheme in the interests of amenity.,local-authority: DNC,Unique Condition,,,
U0116888,Implementation,The development to which this permission relates must be begun not later than the expiration of three years beginning with the date of this permission.,Condition required to be imposed by Section 91(as amended) of the Town and Country Planning Act 1990.,local-authority: DNC,Unique Condition,,,
U0116889,Approved Plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below: 

- Site Layout (119/16/1)
- Location Plan (HAR/WOOD/CARAV/10/1)",To ensure that the development is carried out in accordance with the application as approved.,local-authority: DNC,Unique Condition,,,
U0116890,Drainage DA01,"The development hereby granted shall not be begun until details of the foul, surface water and land drainage systems and all related works necessary to drain the site have been submitted to and approved by the Local Planning Authority. These works shall be carried out concurrently with the development and the drainage system shall be operating prior to the first use of the development.",To ensure that the site is connected to suitable drainage systems and to ensure that full details thereof are approved by the Local Planning Authority before any works begin.,local-authority: DNC,Unique Condition,,,
U0116891,Highways HIGH3,"Before the development hereby permitted is brought into use, the parking as shown on the approved plans shall be provided. The parking area shall not be used otherwise than for the parking of private motor vehicles belonging to the occupants of and visitors to the development hereby approved.",To ensure that adequate parking provision is retained on site.,local-authority: DNC,Unique Condition,,,
U0116892,Use Restriction,"The site shall be occupied by a maximum of 20 caravans. The development hereby permitted shall not be used or occupied other than for the provision of short let holiday accommodation and shall not at any time be used, let, sold or otherwise occupied as dwellings.","To ensure that the remainder of the development is only used and occupied as short let holiday accommodation and to prevent the creation of unjustified separate dwellings in the countryside, in accordance with Policy 25 of the Local Plan.",local-authority: DNC,Unique Condition,,,
U0116893,FRA Compliance,"The development shall be carried out in accordance with the submitted flood risk assessment (J Roberts Design Ltd, 2145, August 2019) and the following mitigation measures it details: 

- Finished floor levels shall be set no lower than 3.23 metres above Ordnance Datum (AOD).
- Finished floor levels shall be set 600mm above ground level. 
- The caravans should be securely anchored to the ground.

These mitigation measures shall be fully implemented prior to occupation and subsequently in accordance with the scheme's timing/phasing arrangements. The measures detailed above shall be retained and maintained thereafter throughout the lifetime of the development.",To reduce the risk of flooding to the proposed development and future occupants.,local-authority: DNC,Unique Condition,,,
U0116894,Flood Evacuation Plan,"The measures outlined within the Flood Evacuation Plan included within Appendix E of the Flood Risk Assessment (J Roberts Design Ltd, 2145, August 2019) shall be implemented for the lifetime of the development.","In the interest of safety during a flooding event, in accordance with Policy 57 of Doncaster Local Plan.",local-authority: DNC,Unique Condition,,,
U0116895,Tree Protection Measures,"Prior to the commencement of the development hereby granted a scheme for the protection of the root protection areas of all trees shown for retention on the approved Site Layout (119/16/1) shall be submitted to and approved in writing by the Local Planning Authority. Tree protection measures shall be implemented on site in accordance with the approved details. Thereafter, all tree protection shall be maintained in full accordance with the approved details until all equipment, machinery and surplus materials have been removed from the site. Nothing shall be stored or placed in any area fenced in accordance with this condition and the ground levels within those areas shall not be altered, nor shall any excavation be made.",To ensure that all trees are protected from damage during construction in accordance with Local Plan Policy 32.,local-authority: DNC,Unique Condition,,,
U0116896,Updated Water Vole Survey,"No development shall take place until a plan detailing the protection of water vole, a protected species under The Wildlife and Countryside Act 1981 as amended and its associated habitat has been submitted to the local planning authority. The plan must consider the whole duration of the development, from the construction phase through to development completion. Any change to operational responsibilities, including management, shall be submitted to and approved in writing by the local planning authority. The water vole protection plan shall be carried out in accordance with a timetable for implementation as approved. The scheme shall include the following elements: 

- Updated water vole survey prior to any development commencing.","To protect the water vole and its habitat within the development site, and to avoid damaging the site's nature conservation value/fisheries value.",local-authority: DNC,Unique Condition,,,
U0116897,Net Gain Management and Monitoring Plan,"Prior to the commencement of development, a Management and Monitoring Plan for proposed onsite habitats shall be submitted to and approved in writing by the Local Planning Authority. The Management Plan shall be based on the proposals set out in the report Biodiversity Net Gain Calculation Report (Estrada Ecology SQ-1457.2) and shown in Figure 1, Proposed Site Plan

- The baseline biodiversity assessment against which an uplift in biodiversity unit value of 0.31 Habitat units will be monitored.
- The project's biodiversity unit targets.
- A detailed adaptive management plan setting out how habitats will be created or enhanced and describing the proposed ongoing management for a minimum of 30 years.
- The details of when target condition will be achieved and how it shall be maintained.
- A detailed monitoring plan that will be used to inform any potential changes to the ongoing management and assess the progress towards achieving target condition. This should outline the surveys that will be used to inform  condition monitoring reports. Monitoring reports will be provided to the Local Planning Authority by the end of years 1,2,5,10,20, and 30 of the monitoring periods.
- The roles, responsibilities and professional competencies of the people  involved in implementing and monitoring the biodiversity net gain  delivery. 
- Evidence that the necessary resources are available to deliver the  proposed biodiversity net gain plan and the ongoing management.

Once approved the Management and Monitoring Plan shall be implemented in full.",To fulfil the requirements of Policy 30(B) of the Local Plan and enhance local ecological networks in accordance with Policy 29 of the Local Plan.,local-authority: DNC,Unique Condition,,,
U0116898,Landscaping Implementation,"The scheme of landscaping as shown on 'Soft Landscape Proposals' (9433-SL-01 Rev A) which has been agreed as part of this application shall be begun during the first available planting season following the commencement of the development hereby granted. It shall thereafter be maintained by the site owner for a period of five years. Any tree or shrub planted in accordance with the scheme which becomes damaged or diseased, or dies or is removed within the five years shall be replaced during the next planting season.",To ensure the maintenance of a healthy planting scheme in the interests of amenity.,local-authority: DNC,Unique Condition,,,
U0116899,CTMP,"No construction works shall take place until full details of highway works have been submitted to and agreed in writing by the Local Planning authority within a Construction Traffic Management Plan. The development shall be carried out in accordance with the agreed details and cover the following points, expanded on as required' 

o Volumes and types of construction vehicles
o identification of delivery routes; 
o identification of agreed access point
o Contractors method for controlling construction traffic and adherence to routes
o Size, route and numbers of abnormal loads
o Swept path analysis (as required)
o Construction Period
o Temporary signage
o Wheel Wash facilities
o Timing of deliveries",To protect highway safety of the area.,local-authority: DNC,Unique Condition,,,
U0116910,plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Fence Detail 2, 21-100-4 Rev A received 12.12.23
Site Plan, 21-100-2  Rev C received 12.12.23
Fence Details 21-100-3 Rev B received 20.4.22",To ensure that the development is carried out in accordance with the application as approved.,local-authority: DNC,Unique Condition,,,
U0116911,rear fencing,"1. The rear acoustic fence shall be a solid construction, with good quality treated timber (with no warping, knot holes or damage) of at least 25mm thickness in all places, including where the boards overlap. Boards must continue across the front of posts to prevent gaps, with wide overlaps minimum 25mm to prevent gaps where boards meet, and the fence boards must have a superficial mass of a minimum of 15 kg/sqm. The fence must be sealed to the floor with no air gaps and shall be maintained in the aforesaid condition throughout the life of the development.
2. The rear acoustic fence shall be designed so that the Rating Level of noise from site activities, when measured/calculated at the boundary of the nearby residential properties to the rear of the site in accordance with BS4142: 2014 methodology, does not exceed 38 dBA.",In the interests of the amenity of the nearby residents.,local-authority: DNC,Unique Condition,,,
U0116912,Approved plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Title: Site/Block Plan (Proposed Site Plan).
Scale: 1:500.

Title: Plan Revision 'A' (Existing and Proposed Floor and Elevation Plans).",To ensure that the development is carried out in accordance with the application as approved.,local-authority: DNC,Unique Condition,,,
U0116918,Approved plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Drawing Title: Proposed Ground Floor Plan, Elevations and Proposed Site Block Plan.
Drawing No: A23-14-02.
Revision: P1.
Date: July 2023.",To ensure that the development is carried out in accordance with the application as approved.,local-authority: DNC,Unique Condition,,,
