reference,name,description,reason,organisation,notes,entry-date,start-date,end-date
D32F1,"Storage tanks, bunds, details needed","Any facilities for the storage of oils, fuels or chemicals shall be sited on impervious bases and surrounded by impervious bund walls. The volume of the bunded compound shall be at least equivalent to the capacity of the tank plus 10%. If there is multiple tankage, the compound shall be at least equivalent to the capacity of the largest tank, vessel or the combined capacity of interconnected tanks or vessels plus 10%. All filling points, associated pipework, vents, gauges and sight glasses must be located within the bund or have separate secondary containment. The drainage system of the bund shall be sealed with no discharge to any watercourse, land or underground strata. Associated pipework shall be located above ground and protected from accidental damage. All filling points and tank/vessels overflow pipe outlets shall be detailed to discharge downwards into the bund.",To prevent pollution of the water environment.,	local-authority:DNC,Standard Condition,,,
D54B,No piped discharge of surface water,"Unless otherwise approved in writing by the Local Planning Authority, there shall be no piped discharge of surface water from the development prior to the completion of the approved surface water drainage works and no buildings shall be occupied or brought into use prior to completion of the approved foul drainage works.",To ensure that no foul or surface water discharge take place until proper provision has  been made for their disposal.,	local-authority:DNC,Standard Condition,,,
DA01,Drainage details be agreed before start,"The development hereby granted shall not be begun until details of the foul, surface water and land drainage systems and all related works necessary to drain the site have been submitted to and approved by the Local Planning Authority. These works shall be carried out concurrently with the development and the drainage system shall be operating to the satisfaction of the Local Planning Authority prior to the occupation of the development.",To ensure that the site is connected to suitable drainage systems and to ensure that full details thereof are approved by the Local Planning Authority before any works begin.,	local-authority:DNC,Standard Condition,,,
DM13A,Septic tank discharge via herringbone,"The discharge from the septic tank hereby approved , whether to a drainage field/mound or wetland/reedbed shall be in accordance with Part H of the Building Regulations. Details of the drainage system shall be submitted to and approved by the Local Planning Authority and be fully operational before the development is occupied.",To avoid pollution of the local land drainage system and in the interests of amenity.,	local-authority:DNC,Standard Condition,,,
DN14A,Permeability tests to be approved,Before the development is commenced permeability tests (in accordance with BRE365) shall be carried out to prove that ground conditions are suitable for a soakaway type septic tank effluent disposal system. The test results shall be submitted to and approved by the Local Planning Authority prior to the commencement of the development.,To ensure that ground conditions are suitable for this type of drainage system and that the relevant details are approved by the Local Planning Authority.,	local-authority:DNC,Standard Condition,,,
DS01,SUDS01,"No building hereby permitted shall be occupied until the sustainable drainage scheme for the site has been completed in accordance with the submitted details. The sustainable drainage scheme shall be designed, managed and maintained in accordance with the Non-statutory technical standards and local standards",To comply with current planning legislation - National Planning Policy Framework,	local-authority:DNC,Standard Condition,,,
DS02,SUDS02,The Developer should be aware that a Sustainable Drainage System (SuDS) is the LPA's preferred option. A detailed explanation of any alternative option and reasons for rejecting a SuDS solution will be required.,To comply with current planning legislation - National Planning Policy Framework.,	local-authority:DNC,Standard Condition,,,
DX24A,SW run off via petrol interceptor,"All surface water run off from the site, excepting roof water, shall be discharged to the public surface water sewer/land drainage system or Highway Drain via a suitable oil/petrol/grit interceptor.  Details of these arrangements shall be approved by the Local Planning Authority prior to the commencement of the development and they shall be fully operational before the site is brought into use.",To avoid pollution of the public sewer and land drainage system.,	local-authority:DNC,Standard Condition,,,
FA01,Floor Levels,Floor levels within the proposed development will be set no lower than existing floor levels,To ensure that any new development complies with Environment Agency standing advice,	local-authority:DNC,Standard Condition,,,
FA02,Flood Proofing,All flood proofing resilience and resistance techniques shall be included in the extension as per the guidance issued by The Department for Communities and Local Government 'Improving the flood performance of new buildings' May 2007.,To ensure that the new extension is flood resilient.,	local-authority:DNC,Standard Condition,,,
HIGH1,Site surfaced and sealed,"Before the development is brought into use, that part of the site to be used by vehicles shall be surfaced, drained and where necessary marked out in a manner to be approved in writing by the local planning authority.",To ensure adequate provision for the disposal of surface water and ensure that the use of the land will not give rise to mud hazards at entrance/exit points in the interests of public safety.,	local-authority:DNC,Standard Condition,,,
HIGH11,Crossing over footpath/verge,The development hereby approved shall not be brought into use until a crossing over the footpath/verge has been constructed in accordance with a scheme previously approved in writing by the local planning authority.,To avoid damage to the verge.,	local-authority:DNC,Standard Condition,,,
HIGH1A,Site surfaced and sealed,"Before the development is brought into use, that part of the site to be used by vehicles shall be surfaced, drained and where necessary marked out in a manner to be approved in writing by the local planning authority.",To ensure highway safety is protected in accordance with Policy 13 (A) of the Doncaster Local Plan.,	local-authority:DNC,Standard Condition,,,
HIGH2,Vehicle turning space,The vehicle turning space as shown on the approved plans shall be constructed before the development is brought into use and shall thereafter be maintained as such.,To avoid the necessity of vehicles reversing on to or from the highway and creating a highway hazard.,	local-authority:DNC,Standard Condition,,,
HIGH3,Parking to be retained as such,"Before the development hereby permitted is brought into use, the parking as shown on the approved plans shall be provided. The parking area shall not be used otherwise than for the parking of private motor vehicles belonging to the occupants of and visitors to the development hereby approved.",To ensure that adequate parking provision is retained on site.,	local-authority:DNC,Standard Condition,,,
HIGH4A,Cycle storage facilities,"The development hereby permitted shall not be commenced until details of secure cycle parking facilities for the occupants of, and/or visitors to the development have been submitted to and approved in writing by the local planning authority. These facilities shall be fully implemented and made available for use prior to the occupation of the development hereby permitted and shall thereafter be retained for use at all times.",To ensure that satisfactory facilities for the parking of cycles are provided and to encourage travel by means other than private motor vehicles and to comply with policy 13 of the Doncaster Local Plan.,	local-authority:DNC,Standard Condition,,,
HIGH4B,Cycle storage facilities,"The development hereby permitted shall not be commenced until details of secure, enclosed cycle storage facilities for each individual property of the development have been submitted to and approved in writing by the local planning authority. These facilities shall be fully implemented and made available for use prior to the occupation of the development hereby permitted and shall thereafter be retained for use at all times in accordance with those approved details.",To ensure that satisfactory facilities for the storage of cycles are provided and to encourage travel by means other than private motor vehicles and to comply with policy 13 of the Doncaster Local Plan.,	local-authority:DNC,Standard Condition,,,
HIGH5,Sight lines maintained,"Before the development is brought into use, the sight lines as shown on the approved plan shall be rendered effective by removing or reducing the height of anything existing on the land hatched black on the said plan which obstructs visibility at any height greater than 900mm above the level of the near side channel line of the public highway. The visibility thus provided shall thereafter be maintained as such, unless otherwise approved in writing with the local planning authority.",In the interests of road safety and to provide and maintain adequate visibility.,	local-authority:DNC,Standard Condition,,,
HIH14A,EV charging point,"Prior to the occupation of the development hereby approved, details of electric vehicle charging provision shall be submitted to and approved in writing by the local planning authority. Installation shall comply with current guidance/advice. The first dwelling/development shall not be occupied until the approved connection has been installed and is operational and shall be retained for the lifetime of the development. The development shall be carried out in accordance with the approved details.",To contribute towards a reduction in emissions in accordance with air quality objectives and providing sustainable travel choice in accordance with policy 13 of the Doncaster Local Plan.,	local-authority:DNC,Standard Condition,,,
MAT1B,Samples of materials,"Prior to the commencement of the relevant works, details of the proposed external materials shall be submitted to and approved in writing by the local planning authority. The development shall be carried out in accordance with the approved materials.",To ensure that the materials are appropriate to the area in accordance with policy 42 of the Doncaster Local Plan.,	local-authority:DNC,Standard Condition,,,
MAT2B,Materials to match existing,The external materials and finishes shall match the existing property.,To ensure the satisfactory appearance of the development in accordance with policy 41 of the Doncaster Local Plan.,	local-authority:DNC,Standard Condition,,,
MAT3A,Base of conservatory to match dwelling,The materials for the base of the conservatory hereby approved shall match those used in the existing dwelling.,To ensure the satisfactory appearance of the development in accordance with policy 42 of the Doncaster Local Plan.,	local-authority:DNC,Standard Condition,,,
MAT4,Details of boundary walls to be approved,"No development shall take place until there has been submitted to and approved in writing by the local planning authority a plan indicating the positions, design, materials, height, and type of boundary treatment to be erected on site, including any gates. Unless otherwise approved in writing by the local planning authority, the details as approved shall be completed before the occupation of any buildings on site.",To ensure the satisfactory appearance of the development.,	local-authority:DNC,Standard Condition,,,
MISC11,South Yorkshire Superfast Broadband,"Upon commencement of development details of measures to facilitate the provision of gigabit-capable full fibre broadband for the dwellings/development hereby permitted, including a timescale for implementation, shall be submitted to and approved in writing by the Local Planning Authority. The development shall be carried out in accordance with the approved details.",To ensure that all new housing and commercial developments provide connectivity to the fastest technically available Broadband network in line with the NPPF (para. 114) and Policy 21 of the Doncaster Local Plan.,	local-authority:DNC,Standard Condition,,,
NOPD1B,No extns or alts without consent,"Notwithstanding the provisions of the Town and Country Planning (General Permitted Development) (No.596) (England) Order 2015, Article 3, Schedule 2: Part 1 (or any subsequent order or statutory provision revoking or re-enacting that order) no additions, extensions or other alterations other than that expressly authorised by this permission shall be carried out without prior permission of the local planning authority.",The local planning authority considers that further development could cause detriment to the amenities of the occupiers of nearby properties or to the character of the area and for this reason would wish to control any future development to comply with policy 10 of the Doncaster Local Plan.,	local-authority:DNC,Standard Condition,,,
NOPD2B,No alterations without consent,"Notwithstanding the provisions of the Town and Country Planning (General Permitted Development) (No.596) (England) Order 2015, Article 3, Schedule 2: Part 1 (or any subsequent order or statutory provision revoking or re-enacting that order) no additional windows shall be created or other alterations made to the dwelling and/or extension hereby permitted without the prior permission of the local planning authority.",The local planning authority considers that further alterations could cause detriment to the amenities of the occupiers of nearby properties and for this reason would wish to control any future alterations to comply with policy 10 of the Doncaster Local Plan.,	local-authority:DNC,Standard Condition,,,
NOPD3B,No development on land without consent,"Notwithstanding the provisions of the Town and Country Planning (General Permitted Development) (No.596) (England) Order 2015, Article 3, Schedule 2: Part 1 (or any subsequent order or statutory provision revoking or re-enacting that order) no development shall be carried out on any part of the land other than that hereby permitted without the prior permission of the local planning authority.",The local planning authority considers that further development could cause detriment to the amenities of the occupiers of nearby properties or to the character of the area and for this reason would wish to control any future development to comply with policy 10 of the Doncaster Local Plan.,	local-authority:DNC,Standard Condition,,,
NOPD4B,No means of enclosure,"Notwithstanding the provisions of the Town and Country Planning (General Permitted Development) (No.596) (England) Order 2015, Article 3, Schedule 2: Part 2 (or any subsequent order or statutory provision revoking or re-enacting that order) no walls, fences or other means of enclosure shall be erected on land between the walls of any dwellings fronting a highway and the highway boundary without the prior permission of the local planning authority.",The local planning authority considers that further development could cause detriment to the character of the area and for this reason would wish to control any future development to comply with policy 10 of the Doncaster Local Plan.,	local-authority:DNC,Standard Condition,,,
RES10,Obscure glazing,"Before the first occupation of the building/extension hereby permitted, the windows as indicated on the approved plans shall be permanently obscure to a level of obscurity to Pilkington level 3 or above or its technical equivalent by other manufactures and shall be permanently retained in that condition thereafter, unless otherwise approved in writing by the local planning authority.",To ensure that the development does not impact on the privacy of the adjoining premises.,	local-authority:DNC,Standard Condition,,,
RES7,Flat roofs,"The flat roof, which will be created as a result of the development hereby granted, shall not be used at any time as a roof garden, terrace, patio or similar amenity area.",In order to protect adjoining properties from overlooking and noise disturbance.,	local-authority:DNC,Standard Condition,,,
STAT1,Full Planning Permission,The development to which this permission relates must be begun not later than the expiration of three years beginning with the date of this permission.,Condition required to be imposed by Section 91(as amended) of the Town and Country Planning Act 1990.,	local-authority:DNC,Standard Condition,,,
STAT2,Outline Planning Permission,The development to which this permission relates must be begun not later than whichever is the later of the following dates:- i) The expiration of three years from the date of this permission or ii) The expiration of two years from the final approval of the reserved matters or in the case of different dates the final approval of the last such matter to be approved.,Condition required to be imposed by Section 92 (as amended) of the Town and Country Planning Act 1990.,	local-authority:DNC,Standard Condition,,,
STAT7,Listed Building Consent,The works hereby permitted shall be commenced before the expiration of three years from the date of this consent.,To comply with Sections 18 (as amended) and 74 of the Planning (Listed Buildings and Conservation Areas) Act 1990.,	local-authority:DNC,Standard Condition,,,
U0105287,Finished appearance,The external face of the pod will be made good using tiles/cladding to match exactly the rest unless otherwise agreed in writing by the Local Planning Authority.,To protect the special interest and setting of the Listed Building,	local-authority:DNC,Unique Condition,,,
U0105619,Approved plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans and specifications. 

Location plan. Date received: 04/01/2023.

Site plan incl. off street parking. Date received: 17/01/2023.

Existing and proposed plans. Revision A. Date received: 04/01/2023.",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0105620,Granny' annexe,The building/extension hereby permitted shall not be occupied at any time other than for purposes ancillary to the residential use of the main dwelling.,To ensure that the building/extension does not become a separate unit and thereby harming the amenity of the main dwelling and the surrounding area.,	local-authority:DNC,Unique Condition,,,
U0105621,Obscure Glazing,"Before the first occupation of the building/extension hereby permitted, the windows at the annexe en-suite as indicated on the approved plans shall be permanently obscure to a level of obscurity to Pilkington level 3 or above or its technical equivalent by other manufactures and shall be permanently retained in that condition thereafter, unless otherwise approved in writing by the local planning authority.",To ensure that the development does not impact on the privacy of the adjoining premises.,	local-authority:DNC,Unique Condition,,,
U0106044,Materials to match,The external materials and finishes including render shall match the existing property.,To ensure the satisfactory appearance of the development in accordance with policy 41 of the Doncaster Local Plan.,	local-authority:DNC,Unique Condition,,,
U0106045,Approved Plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans and specifications. 

Existing plans and elevations and site plan. Drawing number: 01. Revision 01. Date received: 11/01/2023.

Existing plans and elevations and location plan. Drawing number: 02. Revision 01. Date received: 11/01/2023.",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0106046,Replacement Tree Planting,"A replacement fig tree (Ficus carica) shall be planted at the property to the satisfaction of the Local Planning Authority during the first available planting season following completion of the development hereby approved. The replacement tree shall be of minimum of 'Half Standard' size which has been container grown and must be of a quality which complies with the British Standards Institute specification 3936 for Nursery Stock, 1992.",In the interests of amenity and environmental quality and Local Plan policy 48.,	local-authority:DNC,Unique Condition,,,
U0106060,Amended/approved plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the amended/approved plans listed below:

Amended plans:
Title: Plan Revision 'B'.
Received by the City of Doncaster Council on the 02.02.2023.

Approved plans:
Title: Block Plan.
Scale: 1:500.",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0106061,Obscure glazing condition - WC Window,"Before the first occupation of the extension hereby permitted, the ground floor level side elevation WC window, as indicated on the approved plans shall be permanently obscure glazed to a level of obscurity to Pilkington level 3 or above or its technical equivalent by other manufactures and shall be permanently retained in that condition thereafter, unless otherwise approved in writing by the local planning authority.","To ensure that the development does not impact upon the privacy of the neighbouring property and its residents of number 71, High Street, Dunsville, Doncaster and to ensure that the privacy of the occupants of the household in question is also protected.",	local-authority:DNC,Unique Condition,,,
U0106125,Time limit,The development to which this permission relates must be begun not later than the expiration of three years beginning with the date of this permission.,Condition required to be imposed by Section 91(as amended) of the Town and Country Planning Act 1990.,	local-authority:DNC,Unique Condition,,,
U0106126,Approved Plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below: 

Location Plan (23-005-1)
Proposed Site Plan (23-005-2 Rev A)
Proposed Elevations (23-005-4)
Proposed Floor Plans (23-005-3)",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0106127,Parking,"Before the development hereby permitted is brought into use, the parking as shown on the approved plans shall be provided. The parking area shall not be used otherwise than for the parking of private motor vehicles belonging to the occupants of and visitors to the development hereby approved.",To ensure that adequate parking provision is retained on site.,	local-authority:DNC,Unique Condition,,,
U0106128,Materials,"Before the development commences, details of the proposed external materials (to include walls, roof, doors, windows and external gutters and pipework) shall be submitted to and approved in writing by the Local Planning Authority. The development shall be carried out in accordance with the approved materials",To ensure the satisfactory appearance of the development.,	local-authority:DNC,Unique Condition,,,
U0106129,boundary treatment,"No development shall take place until there has been submitted to and approved in writing by the local planning authority a plan indicating the positions, design, materials, height, and type of boundary treatment to be erected on site, including any gates. Unless otherwise approved in writing by the local planning authority, the details as approved shall be completed before the occupation of any buildings on site.",To ensure the satisfactory appearance of the development.,	local-authority:DNC,Unique Condition,,,
U0106141,Approved plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Drawing Title: Proposed Site Plan (received by the City of Doncaster Council on the 24.01.2023.).
Drawing No: A-102.
Date: 24/01/2023.

Drawing Title: Proposed Ground Floor Plan.
Drawing No: A-104a.
Date: 10/01/2023.

Drawing Title: Proposed First Floor Plan.
Drawing No: A-104b.
Date: 10/01/2023.

Drawing Title: Proposed East and West Facade.
Drawing No: A-105a.
Date: 10/01/2023.

Drawing Title: Proposed North and South Facade.
Drawing No: A-105b.
Date: 10/01/2023.",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0106344,Approved plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans and specifications. 

Sheet Name: Location and Block Plan.
Date: 12/01/22.
Drawing Number: BL101.
Project Number: 1830.

Sheet Name: Proposed GF Plan.
Date: 12/01/22.
Drawing Number: P101.
Project Number: 1830.

Sheet Name: Proposed FF Plan.
Date: 12/01/22.
Drawing Number: P102.
Project Number: 1830.

Sheet Name: Proposed Elevations.
Date: 12/01/22.
Drawing Number: P103.
Project Number: 1830.",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0106367,Approved Plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans and specifications. 

Site plan and location plan. Drawing number: DRB 1. Date received: 13/01/2023
Proposed elevations and floor layouts. Drawing number: DRB 2. Date received: 19/01/2023",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0106368,Obscure Glazing,"Before the first occupation of the building/extension hereby permitted, the windows to the ground floor en-suite as indicated on the approved plans shall be permanently obscure to a level of obscurity to Pilkington level 3 or above or its technical equivalent by other manufactures and shall be permanently retained in that condition thereafter, unless otherwise approved in writing by the local planning authority.",To ensure that the development does not impact on the privacy of the adjoining premises.,	local-authority:DNC,Unique Condition,,,
U0106377,Time Limit,The development to which this permission relates must be begun not later than the expiration of three years beginning with the date of this permission.,Condition required to be imposed by Section 91(as amended) of the Town and Country Planning Act 1990.,	local-authority:DNC,Unique Condition,,,
U0106378,Approved Plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below: 

- Proposed New Dwelling (1798-01D) (received 22 February 2023)",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0106379,Materials to match,The external materials and finishes shall match the host property no. 25 Edlington Lane.,To ensure the satisfactory appearance of the development in accordance with policy 41 of the Doncaster Local Plan.,	local-authority:DNC,Unique Condition,,,
U0106482,Amended Plans,"The development hereby permitted shall be carried out in complete accordance with the details shown on the amended plans referenced and dated as follows 

Proposed Plan 100068.02.05 Rev A dated Jan 23 received 19th January 2023
Proposed Site Plan  100068.02.03 dated Jan 23 received 19th January 2023",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0106483,Materials,The external materials and finishes shall match the existing property.,To ensure the satisfactory appearance of the development in accordance with policy 41 of the Doncaster Local Plan.,	local-authority:DNC,Unique Condition,,,
U0106484,obscure glazing,"Before the first occupation of the xtension hereby permitted, the window at first floor level in the northern side elevation serving the bathroom  shall be fitted with obscured glazing and shall be permanently retained in that condition thereafter.",To ensure that the development does not impact on the privacy of the adjoining premises.,	local-authority:DNC,Unique Condition,,,
U0106537,ACC2  In accordance with plans specified,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Location Plan: Revision A as received 03/01/2023
Existing and Proposed Plans: Rev A as received 03/01/2023",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0106571,time limit,The development to which this permission relates must be begun not later than the expiration of three years beginning with the date of this permission.,Condition required to be imposed by Section 91(as amended) of the Town and Country Planning Act 1990.,	local-authority:DNC,Unique Condition,,,
U0106572,plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below: 

o	Location Plan (NE8598-GSS-XX-XX-DR-A-SK011)
o	Site Plan - Proposed  (NE8598-GSS-XX-XX-DR-A-SK002 Rev P03)
o	Typical House Block Elevation 1 - Existing and Proposed (NE8598-GSS-XX-XX-DR-A-SK003 Rev P01)
o	Typical House Block Elevation 2 - Existing and Proposed (NE8598-GSS-XX-XX-DR-A-SK004 Rev P01)
o	Typical Workshop Elevations - Existing and Proposed (NE8598-GSS-XX-XX-DR-A-SK005 Rev P01)
o	Verge Details - Proposed (NE8598-GSS-XX-XX-DR-A-SK007 Rev P02)
o	Typical Building Elevations - Existing and Proposed (NE8598-GSS-XX-XX-DR-A-SK008)",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0106574,Time Limit,The development to which this permission relates must be begun not later than the expiration of three years beginning with the date of this permission.,Condition required to be imposed by Section 91(as amended) of the Town and Country Planning Act 1990.,	local-authority:DNC,Unique Condition,,,
