reference,description,decision-date,organisation,notes,entry-date,start-date,end-date
23/00237/FULM,"Change of use of land for fishing use including construction of access track and parking area.
",2024-10-17,local-authority:DNC,,,,
23/00255/FULM,Application to remove Condition 9 (EV Charging) of Planning Permission 16/03186/REMM granted on 20.12.2022.,2024-04-02,local-authority:DNC,,,,
23/00277/FUL,Replacement of 1.2m boundary fence with 1.8m boundary fence plus erection of sliding gate (part-retrospective),2024-01-29,local-authority:DNC,,,,
23/00300/REMM,"Details of Landscaping, being a matter reserved in outline application 17/02958/FULM, granted on 27.07.2018",2024-07-19,local-authority:DNC,,,,
23/00329/FUL,Installation of external insulation and render with brick cladding on porch and new porch roof with canopy- (Retrospective),2024-05-20,local-authority:DNC,,,,
23/00476/ADV,Display of a free-standing internally illuminated advertising information unit featuring double-sided digital displays.,2024-04-04,local-authority:DNC,,,,
23/00499/FUL,Conversion of three bedroom domestic property to form two self-contained flats  including the erection of a rear single-storey extension.,2024-02-26,local-authority:DNC,,,,
23/00575/FUL,Erection of a temporary re-locatable building to be used as an office with associated staff welfare provision and the installation of 2.4m high fencing,2024-02-15,local-authority:DNC,,,,
23/00624/FUL,Demolition of existing dwelling and outbuildings and construction of 3 detached dwellings including alterations to existing and creation of new vehicle access,2024-05-13,local-authority:DNC,,,,
23/00701/FUL,"Erection of 1 building to provide 2 self-contained units of flexible accommodation (use class B2 and B8), car parking, access and associated works.",2024-07-29,local-authority:DNC,,,,
23/00766/FUL,Erection of one and a half storey extension and raising of existing roof to form dormer bungalow. Installation of render to sides and rear of property.,2024-05-02,local-authority:DNC,,,,
23/00803/MIN,A planning application for the extraction of sand and gravel and restoration to woodland and agriculture (AMENDMENT) new document  to consider to address EA and LLFA concerns),2024-06-27,local-authority:DNC,,,,
23/00810/COU,Change of use from C3 (Dwelling) to C1 (short term letting).,2024-02-16,local-authority:DNC,,,,
23/00823/FUL,"External alterations to an outbuilding, including an extension to the north of the building and the installation of a new roof",2024-06-27,local-authority:DNC,,,,
23/00838/FUL,"All-weather riding arena for private use only
",2024-02-27,local-authority:DNC,,,,
23/00888/FUL,Demolition of the existing boathouse and erection of a two storey building and landscaping alterations including an expansion of the existing boat yard area,2024-05-16,local-authority:DNC,,,,
23/00977/FUL,Erection of detached outbuilding/garage following demolition of original garage (Retrospective),2024-03-21,local-authority:DNC,,,,
23/01027/FUL,Erection of agricultural workers dwelling,2024-09-04,local-authority:DNC,,,,
23/01032/FUL,Erection of 5 dwellings following demolition of existing public house (part retrospective) (UPDATED DRAINAGE INFO),2024-05-02,local-authority:DNC,,,,
23/01080/3FUL,"Erection of a single storey rear extension, roof alteration to existing lobby annex and refurbishment of existing bungalow. Also external works to include new permeable driveway, new rear patio and replacement of boundary fencing",2024-03-12,local-authority:DNC,,,,
23/01111/FUL,"Change of use from a dwelling (C3) to a children's care home (C2), with associated external works including replacement/installation of windows, rooflights and doors, and changes to parking layout.",2024-03-27,local-authority:DNC,,,,
23/01129/FUL,Erection of 3 detached dwellings (being variation of condition 2 - amendments to approved plans on application 21/03464/FUL granted on 19/10/22).,2024-03-20,local-authority:DNC,,,,
23/01131/FUL,Erection of one replacement dwelling.,2024-04-17,local-authority:DNC,,,,
23/01132/COU,Change of use from Children's Home (C2) to residential dwellinghouse (C3(a)),2024-09-02,local-authority:DNC,,,,
23/01133/COU,Change of use from Children's Homes (C2) to 2 no. residential dwellinghouses (C3(a)),2024-09-02,local-authority:DNC,,,,
23/01134/COU,Change of use from Children's Home (C2) to 2 no. residential dwellinghouses (C3(a)),2024-09-02,local-authority:DNC,,,,
23/01149/COU,Change of use from Children's Home (C2) to residential dwellinghouse (C3(a)),2024-09-02,local-authority:DNC,,,,
23/01197/FULM,"Outline application for travel interchange for bus, road and rail transport with first floor retail and associated high level decked car parking on approx. 6.30ha of land (being variation of condition 20 of planning application 98/4051/P granted 27/07/1999, to seek approval for closure to access to the public between the travel interchange and city centre through the shopping centre at certain times: North Mall route to be closed 15 minutes after Doncaster Interchange published public transport times and re-opened 15 minutes before, South Mall route to be closed 30 minutes after shop opening times and re-opened 30 minutes before) (being resubmission of application 22/02548/FULM)",2024-02-05,local-authority:DNC,,,,
23/01216/FUL,"Demolition of garage and rear extensions and erection of new side, rear and dormer extension and associated works",2024-01-26,local-authority:DNC,,,,
23/01217/COU,Change of use from Children's Home (C2) to a residential dwellinghouse (C3(a)),2024-09-02,local-authority:DNC,,,,
23/01231/FUL,Raising of roof height of restaurant to create an additional storey with external terrace.,2024-09-19,local-authority:DNC,,,,
23/01233/FUL,"Alteration of existing bungalow to a 2 storey dwelling and erection of a detached dwelling in the rear garden with relevant parking, drive and vehicular access (AMENDED PLANS)",2024-07-25,local-authority:DNC,,,,
23/01251/FUL,"Erection of 5 houses, construction of new private drive and parking spaces for number 39 Charles Street.",2024-04-08,local-authority:DNC,,,,
23/01261/FUL,"The retention of 48 accommodation units and 4 ancillary units constructed under Schedule 2, Part 19 Class Q of the General Permitted Development Order (GPDO) (2015) and the proposed siting of 18 additional accommodation units (Part Retrospective)",2024-05-14,local-authority:DNC,,,,
23/01294/FUL,Erection of close boarded timber fence to top of existing low level boundary walling. Maximum height of 2m.,2024-05-02,local-authority:DNC,,,,
23/01322/FUL,"Erection of two animal houses, toilet block & enclosures",2024-04-16,local-authority:DNC,,,,
23/01339/FUL,Erection of one detached house and garage following demolition of existing garage belonging to No 24. (AMENDED 13/11/2023),2024-02-09,local-authority:DNC,,,,
23/01353/COU,Change of use from C3 residential to short term holiday let (C1) (Retrospective).,2024-02-22,local-authority:DNC,,,,
23/01371/FUL,"Temporary change of use of section of car park for the erection of temporary 'pop up' structures and associated external seating, to provide ancillary Class E(a) (shops), E(b) (food and drink), E(c)(iii) (services) and Sui Generis (hot food takeaway) uses, for a period of 3 years.",2024-03-22,local-authority:DNC,,,,
23/01421/FULM,"Erection of a Community Diagnostic Centre and substation, alterations to existing car parking and a new staff car park.",2024-03-27,local-authority:DNC,,,,
23/01430/FULM,"Erection of residential development of 57 affordable dwellings including associated infrastructure and landscaping (AMENDMENTS: certificate: change due to land ownership, redesign: new plans and documents, including ecology and landscaping, departure: as being viability tested)",2024-05-15,local-authority:DNC,,,,
23/01435/FUL,Erection of one 4 bed dwelling to back part of land behind electric sub station.,2024-11-05,local-authority:DNC,,,,
23/01443/FUL,Demolish existing outbuildings and erection of new single storey outbuilding.,2024-02-26,local-authority:DNC,,,,
23/01467/FULM,Internal alterations and recladding of part of the building and proposed change of use to form 13x 1 and 2 bedroom apartments (Use Class C3).,2024-01-29,local-authority:DNC,,,,
23/01500/FUL,Erection of a temporary school building (retrospective),2024-01-25,local-authority:DNC,,,,
23/01511/TPO,"Conset to remove T1; Ash & T2; Tree of heaven (being subject to G2 of Doncaster Borough Council Tree Preservation Order (No.210) 1997 Moat House Hotel, Warmsworth). Also, removal of a group of dead sycamores & hawthorn tree (being subject to G2 of Doncaster Borough Council Tree Preservation Order (No.210) 1997 Moat House Hotel, Warmsworth).

G1; Dead Sycamores & 1x Hawthorne; fell to ground level; dead trees & Hawthorne leans over footpath- significant decay in lower stem.",2024-03-19,local-authority:DNC,,,,
23/01515/FULM,Erection of storage building.,2024-12-19,local-authority:DNC,,,,
23/01520/PRIOR,Notification to determine if prior approval is required for the change of use of a ground floor retail unit and first floor into two flats,2024-02-29,local-authority:DNC,,,,
23/01528/FUL,Erection of a 2 storey rear extension.,2024-01-11,local-authority:DNC,,,,
23/01532/FUL,Erection of one and a half storey detached garage.,2024-02-12,local-authority:DNC,,,,
23/01547/LBCM,Listed building consent for internal alterations and recladding of part of building and proposed change of use to form 13x 1 and 2 bedroom apartments.,2024-01-29,local-authority:DNC,,,,
23/01568/FUL,Erection of a two storey extension to the rear as well as infill extension to connect the existing house and garage with a first-floor extension on the existing garage and external render to property,2024-01-29,local-authority:DNC,,,,
23/01640/3FUL,"Proposed change of use of former caretaker's bungalow to an educational building (Use Class F1) and associated external works including the provision of new surfacing, fencing, and a vehicular drop off area (part retrospective)",2024-03-18,local-authority:DNC,,,,
23/01643/FUL,"Enlargement of the existing car park, reconfiguration of the building entrance and internal alterations including the introduction of a mid-height floor to the existing sports hall to provide a bowling alley at ground floor with a gym at first floor level, refurbishment to the swimming pool and erection of an associated substation. (AMENDED)",2024-02-09,local-authority:DNC,,,,
23/01648/ADV,Display of external office fascia signage with a new back lit sign with new logo to replace existing,2024-01-08,local-authority:DNC,,,,
23/01650/FUL,Erection of a single-storey extension to the rear (RETROSPECTIVE),2024-03-20,local-authority:DNC,,,,
23/01672/FUL,Proposed change of use for the siting of up to 12 holiday caravans,2024-01-25,local-authority:DNC,,,,
23/01685/FULM,"Section 73 Application to vary Conditions 2, 6, 7, 13 and 17 (HGV movements) of Planning Permission 21/01331/FULM - Vehicle movements to be increased from 50 to up to 300 HGV daily movements. See accompanying covering letter and transport statement.",2024-01-24,local-authority:DNC,,,,
23/01706/FULM,Change of use from reformed church hall to 8  x one bedroom apartments with associated works.(AMENDED PLANS/INFO),2024-04-05,local-authority:DNC,,,,
23/01709/OUTM,"Outline application for residential development of up to 542 dwellings on approx. 20.9ha of land with associated public open space, parking, landscaping and infrastructure (approval being sought for access) without compliance with condition 18 of planning application reference 23/00138/OUTM granted on 26/04/2023.",2024-02-08,local-authority:DNC,,,,
23/01746/FULM,Installation of a battery energy facility & association works,2024-04-30,local-authority:DNC,,,,
23/01760/FUL,Amended - Erection of a 1st floor extension above a portion of the dwelling house and an additional storey above the garage with internal and external alterations to the dwelling house.,2024-04-19,local-authority:DNC,,,,
23/01768/FUL,Erection of two storey extension to front of property and raising of the roof,2024-04-25,local-authority:DNC,,,,
23/01770/FUL,"Amended - Erection of a breeze block wall within the existing barn to create a Man Cave. Wooden cladding added to the exterior of the existing barn but leaving the owl box and access for the owl to enter and exit. A lean-too extension to the east and south elevations of the existing barn with a door and window also added. Erection of a children's play (Wendy) house within the rear garden and erection of a Garden Room/Summer House/Gym and Store, all of which are RETROSPECTIVELY applied for.",2024-06-17,local-authority:DNC,,,,
23/01795/OUT,Outline application for the erection of a single storey detached dwelling (approval being sought for access and layout),2024-05-09,local-authority:DNC,,,,
23/01799/FUL,"Demolition of existing garage and erection of new garage, 2 storey side and rear extension and roof lift to form rooms in roof and new render finish to house. {resubmission of 21/02862/FUL}",2024-11-24,local-authority:DNC,,,,
23/01801/FUL,6.1m x 2.6m shipping container raised on four block plinths for the purpose of tool storage for woodland management (Retrospective),2024-01-12,local-authority:DNC,,,,
23/01807/FULM,Erection of a 60-bed modular house block built to category C security standard,2024-05-02,local-authority:DNC,,,,
23/01831/FUL,AMENDED DESCRIPTION: Erection of a two-storey and first floor rear extension with first floor extension to the side.,2024-01-09,local-authority:DNC,,,,
23/01846/FUL,Erection of a single storey extension to rear of house. Removal of current garage and erection of new garage.,2024-04-30,local-authority:DNC,,,,
23/01852/FUL,"Erection of a porch to the front, rear and side extensions and a change of facing materials.",2024-01-03,local-authority:DNC,,,,
23/01857/FUL,"(RETROSPECTIVE) Conversion of first floor of building to create 5 residential apartments with associated works (resubmission of 22/01232/FUL, refused on 14.11.2022)",2024-01-04,local-authority:DNC,,,,
23/01861/FUL,"Erection of new porch, first floor side and single storey rear extension.",2024-02-09,local-authority:DNC,,,,
23/01862/FUL,Erection of single storey rear extension. Installation of a dormer windows to rear elevation and formation of rooms in roof space,2024-04-30,local-authority:DNC,,,,
23/01863/FUL,Erection of new industrial unit (AMENDED FRA),2024-05-16,local-authority:DNC,,,,
23/01872/COUM,"Change of use of 27 office units into educational space (use class F1) for Hill House School to include new specialist gym, art, music and library facilities/classrooms, shared space and staff rooms as well as installation of new windows to the north east corner to serve the library.",2024-03-01,local-authority:DNC,,,,
23/01880/FUL,"Change of use from a dwelling at ground floor level to a retail unit, rear extension and alterations to the front of the building to form shop entrance",2024-02-29,local-authority:DNC,,,,
23/01883/FUL,Erection of a flat roof ground floor extension to the rear and the installation of a window to rear elevation of the new first floor extension (which was granted under ref no: 20/03211/FUL on the 02.09.2021).,2024-01-03,local-authority:DNC,,,,
23/01886/FULM,Conversion of coach house (C3 Use Class) into 10 apartments with associated parking,2024-09-25,local-authority:DNC,,,,
23/01887/LBCM,Listed building consent for conversion of coach house (C3 Use Class) into 10 apartments with associated parking.,2024-09-25,local-authority:DNC,,,,
23/01902/FUL,Erection of timber outbuilding at the rear for use as a beauty salon.,2024-05-28,local-authority:DNC,,,,
23/01914/FUL,Erection of two detached dwellings,2024-08-02,local-authority:DNC,,,,
23/01925/FUL,"Change of use of former public house (Sui Generis) to 5 no. duplex apartments (Use Class C3) and retail unit (Use Class E(g)), with associated external alterations including to the site layout to provide bin store, cycle store, site access widening and new parking layout (AMENDED SCHEME)",2024-05-01,local-authority:DNC,,,,
23/01950/FUL,"Erection of detached dwelling and garage, creation of new vehicular access and associated landscaping (AMENDED)",2024-10-09,local-authority:DNC,,,,
23/01963/FUL,Erection of two storey side extension,2024-02-12,local-authority:DNC,,,,
23/01971/REMM,"Details of appearance, landscaping, layout and scale for B2, B8 and Class E:(g) - Employment uses of 31,846 square metres for up to 52 units and parking. (Being matters reserved of appeal ref:22/00040/NONDET allowed on 17/04/2023.)",2024-12-23,local-authority:DNC,,,,
23/01976/FUL,Erection of rear single and two storey extension (being resubmission of 23/00386/FUL granted 16/06/2023).,2024-03-05,local-authority:DNC,,,,
23/01978/FUL,Installation of air source heat pump (RETROSPECTIVE),2024-01-16,local-authority:DNC,,,,
23/02025/FULM,"Erection of residential development (Use Class C3), internal access roads, car parking, open space and associated works, being variation of condition 2 (in accordance with plans) of planning permission reference 19/02977/FULM granted on 18/04/2023.",2024-06-06,local-authority:DNC,,,,
23/02027/PRIOR,Notification to determine if prior approval is required for a change of use from commercial space to residential dwelling,2024-01-16,local-authority:DNC,,,,
23/02037/FUL,"Erection of one and a half storey side extension, including integrated garage. Raising of the roof height to form dormer bungalow and other associated works, following the demolition of the existing conservatory",2024-01-26,local-authority:DNC,,,,
23/02038/FUL,Balcony extension to the front of dwelling and associated external alterations,2024-01-18,local-authority:DNC,,,,
23/02052/4FULM,Demolition of existing buildings and erection of a new commercial development block.,2024-01-10,local-authority:DNC,,,,
23/02068/FUL,Erection of front boundary wall (RETROSPECTIVE),2024-02-09,local-authority:DNC,,,,
23/02072/FUL,Installation of replacement UPVC windows to first & second floor,2024-01-08,local-authority:DNC,,,,
23/02073/COU,Change of use from Children's Home (C2) to dwellinghouse (C3(a)),2024-01-03,local-authority:DNC,,,,
23/02087/FUL,Erection of two dwellings to replace existing agricultural buildings and associated works,2024-01-24,local-authority:DNC,,,,
23/02088/FUL,Conversion of garage and erection of new glazed link,2024-03-15,local-authority:DNC,,,,
23/02104/LBC,Listed building consent for reinstating steps to the Summer House and associated works,2024-01-08,local-authority:DNC,,,,
23/02105/FUL,"Erection of new dwelling (being resubmission of application 22/00725/FUL, granted on 05.04.2023)",2024-01-03,local-authority:DNC,,,,
23/02113/FUL,Erection of ground floor and first floor rear extensions,2024-06-05,local-authority:DNC,,,,
23/02142/FUL,Erection of extension following demolition of part of existing building and erection of new building to be used for Use Class E(g)/B2/B8 purposes. (being resubmission of planning application ref: 20/00455/FUL),2024-07-11,local-authority:DNC,,,,
23/02143/FUL,"Erection of two storey pitched roof side extension, and ground floor rear extension",2024-01-16,local-authority:DNC,,,,
23/02153/REM,"Details of access, scale, layout, appearance and landscaping for the erection of 2 detached dwellings and associated garages (being matters reserved in outline application 22/00645/OUT)",2024-07-01,local-authority:DNC,,,,
